geometry,file
"BoundingBox(left=-12631966.0, bottom=4509615.0, right=-12618466.0, top=4523115.0)",gridcell_357
"BoundingBox(left=-12618466.0, bottom=4509615.0, right=-12604966.0, top=4523115.0)",gridcell_358
"BoundingBox(left=-12604966.0, bottom=4509615.0, right=-12591466.0, top=4523115.0)",gridcell_359
"BoundingBox(left=-12591466.0, bottom=4509615.0, right=-12577966.0, top=4523115.0)",gridcell_360
"BoundingBox(left=-12577966.0, bottom=4509615.0, right=-12564466.0, top=4523115.0)",gridcell_361
"BoundingBox(left=-13239466.0, bottom=4496115.0, right=-13225966.0, top=4509615.0)",gridcell_364
"BoundingBox(left=-13225966.0, bottom=4496115.0, right=-13212466.0, top=4509615.0)",gridcell_365
"BoundingBox(left=-13212466.0, bottom=4496115.0, right=-13198966.0, top=4509615.0)",gridcell_366
"BoundingBox(left=-13198966.0, bottom=4496115.0, right=-13185466.0, top=4509615.0)",gridcell_367
"BoundingBox(left=-13185466.0, bottom=4496115.0, right=-13171966.0, top=4509615.0)",gridcell_368
"BoundingBox(left=-13171966.0, bottom=4496115.0, right=-13158466.0, top=4509615.0)",gridcell_369
"BoundingBox(left=-13158466.0, bottom=4496115.0, right=-13144966.0, top=4509615.0)",gridcell_370
"BoundingBox(left=-13144966.0, bottom=4496115.0, right=-13131466.0, top=4509615.0)",gridcell_371
"BoundingBox(left=-13131466.0, bottom=4496115.0, right=-13117966.0, top=4509615.0)",gridcell_372
"BoundingBox(left=-13117966.0, bottom=4496115.0, right=-13104466.0, top=4509615.0)",gridcell_373
"BoundingBox(left=-13104466.0, bottom=4496115.0, right=-13090966.0, top=4509615.0)",gridcell_374
"BoundingBox(left=-13090966.0, bottom=4496115.0, right=-13077466.0, top=4509615.0)",gridcell_375
"BoundingBox(left=-13077466.0, bottom=4496115.0, right=-13063966.0, top=4509615.0)",gridcell_376
"BoundingBox(left=-13063966.0, bottom=4496115.0, right=-13050466.0, top=4509615.0)",gridcell_377
"BoundingBox(left=-13050466.0, bottom=4496115.0, right=-13036966.0, top=4509615.0)",gridcell_378
"BoundingBox(left=-13036966.0, bottom=4496115.0, right=-13023466.0, top=4509615.0)",gridcell_379
"BoundingBox(left=-13023466.0, bottom=4496115.0, right=-13009966.0, top=4509615.0)",gridcell_380
"BoundingBox(left=-13009966.0, bottom=4496115.0, right=-12996466.0, top=4509615.0)",gridcell_381
"BoundingBox(left=-12996466.0, bottom=4496115.0, right=-12982966.0, top=4509615.0)",gridcell_382
"BoundingBox(left=-12982966.0, bottom=4496115.0, right=-12969466.0, top=4509615.0)",gridcell_383
"BoundingBox(left=-12969466.0, bottom=4496115.0, right=-12955966.0, top=4509615.0)",gridcell_384
"BoundingBox(left=-12955966.0, bottom=4496115.0, right=-12942466.0, top=4509615.0)",gridcell_385
"BoundingBox(left=-12942466.0, bottom=4496115.0, right=-12928966.0, top=4509615.0)",gridcell_386
"BoundingBox(left=-12928966.0, bottom=4496115.0, right=-12915466.0, top=4509615.0)",gridcell_387
"BoundingBox(left=-12915466.0, bottom=4496115.0, right=-12901966.0, top=4509615.0)",gridcell_388
"BoundingBox(left=-12901966.0, bottom=4496115.0, right=-12888466.0, top=4509615.0)",gridcell_389
"BoundingBox(left=-12888466.0, bottom=4496115.0, right=-12874966.0, top=4509615.0)",gridcell_390
"BoundingBox(left=-12874966.0, bottom=4496115.0, right=-12861466.0, top=4509615.0)",gridcell_391
"BoundingBox(left=-12861466.0, bottom=4496115.0, right=-12847966.0, top=4509615.0)",gridcell_392
"BoundingBox(left=-12847966.0, bottom=4496115.0, right=-12834466.0, top=4509615.0)",gridcell_393
"BoundingBox(left=-12834466.0, bottom=4496115.0, right=-12820966.0, top=4509615.0)",gridcell_394
"BoundingBox(left=-12820966.0, bottom=4496115.0, right=-12807466.0, top=4509615.0)",gridcell_395
"BoundingBox(left=-12807466.0, bottom=4496115.0, right=-12793966.0, top=4509615.0)",gridcell_396
"BoundingBox(left=-12793966.0, bottom=4496115.0, right=-12780466.0, top=4509615.0)",gridcell_397
"BoundingBox(left=-12780466.0, bottom=4496115.0, right=-12766966.0, top=4509615.0)",gridcell_398
"BoundingBox(left=-12766966.0, bottom=4496115.0, right=-12753466.0, top=4509615.0)",gridcell_399
"BoundingBox(left=-12753466.0, bottom=4496115.0, right=-12739966.0, top=4509615.0)",gridcell_400
"BoundingBox(left=-12739966.0, bottom=4496115.0, right=-12726466.0, top=4509615.0)",gridcell_401
"BoundingBox(left=-12726466.0, bottom=4496115.0, right=-12712966.0, top=4509615.0)",gridcell_402
"BoundingBox(left=-12712966.0, bottom=4496115.0, right=-12699466.0, top=4509615.0)",gridcell_403
"BoundingBox(left=-12699466.0, bottom=4496115.0, right=-12685966.0, top=4509615.0)",gridcell_404
"BoundingBox(left=-12685966.0, bottom=4496115.0, right=-12672466.0, top=4509615.0)",gridcell_405
"BoundingBox(left=-12672466.0, bottom=4496115.0, right=-12658966.0, top=4509615.0)",gridcell_406
"BoundingBox(left=-12658966.0, bottom=4496115.0, right=-12645466.0, top=4509615.0)",gridcell_407
"BoundingBox(left=-12645466.0, bottom=4496115.0, right=-12631966.0, top=4509615.0)",gridcell_408
"BoundingBox(left=-12631966.0, bottom=4496115.0, right=-12618466.0, top=4509615.0)",gridcell_409
"BoundingBox(left=-12618466.0, bottom=4496115.0, right=-12604966.0, top=4509615.0)",gridcell_410
"BoundingBox(left=-12604966.0, bottom=4496115.0, right=-12591466.0, top=4509615.0)",gridcell_411
"BoundingBox(left=-12591466.0, bottom=4496115.0, right=-12577966.0, top=4509615.0)",gridcell_412
"BoundingBox(left=-12577966.0, bottom=4496115.0, right=-12564466.0, top=4509615.0)",gridcell_413
"BoundingBox(left=-12564466.0, bottom=4496115.0, right=-12550966.0, top=4509615.0)",gridcell_414
"BoundingBox(left=-13239466.0, bottom=4482615.0, right=-13225966.0, top=4496115.0)",gridcell_416
"BoundingBox(left=-13225966.0, bottom=4482615.0, right=-13212466.0, top=4496115.0)",gridcell_417
"BoundingBox(left=-13212466.0, bottom=4482615.0, right=-13198966.0, top=4496115.0)",gridcell_418
"BoundingBox(left=-13198966.0, bottom=4482615.0, right=-13185466.0, top=4496115.0)",gridcell_419
"BoundingBox(left=-13185466.0, bottom=4482615.0, right=-13171966.0, top=4496115.0)",gridcell_420
"BoundingBox(left=-13171966.0, bottom=4482615.0, right=-13158466.0, top=4496115.0)",gridcell_421
"BoundingBox(left=-13158466.0, bottom=4482615.0, right=-13144966.0, top=4496115.0)",gridcell_422
"BoundingBox(left=-13144966.0, bottom=4482615.0, right=-13131466.0, top=4496115.0)",gridcell_423
"BoundingBox(left=-13131466.0, bottom=4482615.0, right=-13117966.0, top=4496115.0)",gridcell_424
"BoundingBox(left=-13117966.0, bottom=4482615.0, right=-13104466.0, top=4496115.0)",gridcell_425
"BoundingBox(left=-13104466.0, bottom=4482615.0, right=-13090966.0, top=4496115.0)",gridcell_426
"BoundingBox(left=-13090966.0, bottom=4482615.0, right=-13077466.0, top=4496115.0)",gridcell_427
"BoundingBox(left=-13077466.0, bottom=4482615.0, right=-13063966.0, top=4496115.0)",gridcell_428
"BoundingBox(left=-13063966.0, bottom=4482615.0, right=-13050466.0, top=4496115.0)",gridcell_429
"BoundingBox(left=-13050466.0, bottom=4482615.0, right=-13036966.0, top=4496115.0)",gridcell_430
"BoundingBox(left=-13036966.0, bottom=4482615.0, right=-13023466.0, top=4496115.0)",gridcell_431
"BoundingBox(left=-13023466.0, bottom=4482615.0, right=-13009966.0, top=4496115.0)",gridcell_432
"BoundingBox(left=-13009966.0, bottom=4482615.0, right=-12996466.0, top=4496115.0)",gridcell_433
"BoundingBox(left=-12996466.0, bottom=4482615.0, right=-12982966.0, top=4496115.0)",gridcell_434
"BoundingBox(left=-12982966.0, bottom=4482615.0, right=-12969466.0, top=4496115.0)",gridcell_435
"BoundingBox(left=-12969466.0, bottom=4482615.0, right=-12955966.0, top=4496115.0)",gridcell_436
"BoundingBox(left=-12955966.0, bottom=4482615.0, right=-12942466.0, top=4496115.0)",gridcell_437
"BoundingBox(left=-12942466.0, bottom=4482615.0, right=-12928966.0, top=4496115.0)",gridcell_438
"BoundingBox(left=-12928966.0, bottom=4482615.0, right=-12915466.0, top=4496115.0)",gridcell_439
"BoundingBox(left=-12915466.0, bottom=4482615.0, right=-12901966.0, top=4496115.0)",gridcell_440
"BoundingBox(left=-12901966.0, bottom=4482615.0, right=-12888466.0, top=4496115.0)",gridcell_441
